No,Kalimat,Pasien,Usia Pasien,Penyakit,Gejala,Kapan,Periode,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Observasi,Objek,Penutup,Referensi,Artikel
1,"Anak saya umur baru 1 bulan, kadang kalo tidur napasnya kayak terengah-engah/engap tapi kalo digendong nafsnya normal,tolong penjelasanya.?",1,1,,1,1,,1,1,1,,,,,,,,
2,"Alo, selamat malam bunda",,,,,,,,,,1,,,,,,,
3,dalam tidur terdapat 2 fase yaitu fase pertama adalahdalah fase non REM/Rapid Eye Movement yang terjadi5 sampai 15 menit di awal tidur.,,,,,1,1,,,,,,,,,,,
4,dalam fase initerdapat 3 fase,,,,,,1,,,,,,,,,,,
5,yang pertama mata menutup namun akan mudah dibangunkan.,,,,1,,,,,,,,,,,,,
6,"kedua pernafasan dan detak jantung melambat disertai suhu tubuh
sedikit lebih rendah, tubuh relaks dan bersiap tidur lebih dalam.",,,,1,,,,,,,,,,,,,
7,"Pada fase ketiga, sudah mulai tidur dalam. Pada fase ini, akan sulit dibangunkan dan bila terbangun akan mengalami sedikit disorientasi (kebingungan/ling lung)",,,,1,,,,1,,,,,,,,,
8,"setalah3 fase NREM, tubuh akan masuk ke dalam fase REM yang biasanya setelah 90 menit tertidur.",,,,,1,1,,,,,,,,,,,
9,"Pada fase ini, detak jantung dan pernafasan meningkat dan dapat mengalami mimpi.",,,,1,,,,,,,,,,,,,
10,"Satu fase REM biasanya 10 menit dan setiap siklus fase REM akan semakin lama, hingga mencapai satu jam.",,,,,1,1,,,,,,,,,,,
11,"setelahfase REM selesai, siklus tidur akan diulangi kembali ke fase NREM, begitu seterusnya sampai 8 jam tertidur.",,,,,1,1,,1,,,,,,,,,
12,jadi apa yang dialami bayi anda kemungkinan besar merupakan fase tidur dalam yang biasadisebut sebagai fase Rapid Eye Movement (REM).,,,,,1,,,,,,,,,,,,
13,umumnya pola tidur bayi sedikit berbeda dengan orang dewasa bunda dimana bayi lebih banyakmengalami fase REM dalam tidur.,,,,,,,,,,,1,,,,,,
14,"pada fase REM inibayi akan mengalami pernafasan yang lebih cepat (terlihat seperti tersengal-sengal, namun bukan sesak nafas), gerakan mata atau kelopak mata sedikit terbuka dan mengalami mimpi (bayi kadang tersenyum,tertawa bahkan menangis/merintih).",,,,1,,,,,,,,,,,,,
15,jadi hal ini sebenarnya merupakan hal yang wajar dialami oleh semua bayi bunda.,,,,,,,,1,,,,,,,,,
16,"namun bunda juga harus waspada dengan melihat tanda-tanda seperti bayi sulit bernapas, tidak bisa tidur atau rewel, bibir biru tangan dan kaki dingin , tidak mau minum susu jika disertai tanda-tanda seperti ini maka segera bawa bayi ke ugd terdekat ya bunda,",,,,1,,,1,,,,,,,,,,
17,semoga dapat membantu,,,,,,,,,,,,,,,1,,
18,Dok bayi saya bbl 3.150grBayi saya asi campur suforBln1 4kg (naik 850gr)Bln2 4.2kg (naik 200gr)Bln3 4.8kg (naik 600gr)Bln4 5.2kg (naik 400gr)Bln5 5.7kg (naik 500gr)Setahu saya 5bln hrsnya 2x bbl=6.3kg.,1,1,,,,,1,1,,,,,1,,,,
19,Jadi kurang 600gr.,,,,,,,,,,,,,1,,,,
20,Bidan blg gpp.,,,,,,,,1,,,,,,,,,
21,Bgmna mnrut dokter?,,,,,,,,,1,,,,,,,,
22,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
